MeanEEG,StdEEG,Kurtosis,Skewness,AR_Coefficients,HjorthActivity,HjorthMobility,HjorthComplexity,AlphaPower,BetaPower,GammaPower,DeltaPower,ThetaPower,DeltaAlpha,DeltaBeta,DeltaGamma,DeltaTheta,ThetaAlpha,ThetaBeta,ThetaGamma,AlphaBeta,AlphaGamma,BetaGamma,BetaAlphaTheta,ThetaAlphaBeta,DeltaThetaAlphaBeta,DeltaThetaBetaGamma,BetaGammaDeltaTheta
-0.267346242932297,10.234609386136,3.81405584675736,-0.145517883069551,3.872;-7.1346;8.1271;-6.0875;2.7137;0.15342;-1.744;1.9317;-1.1561;0.31569,104.747229286784,0.287418236365745,2.25062230580671,30.0422565481141,11.9174908590648,3.78034250914034,44.0012704601323,9.55529930693971,0.381613565407624,1.30621136651657,2.45440389118482,1.52712260575314,-1.14550904034552,-0.220911239236577,0.927281285431677,0.924597801108943,2.0727903257772,1.14819252466825,-1.20076025444489,-1.47961486181982,0.2440277104325,1.2272157732885,-1.2272157732885
-0.213831567285402,12.7042443940631,3.23576122934337,0.00754451222568408,4.05653;-8.15704;10.4951;-9.36661;5.87018;-2.29489;0.0804418;0.606011;-0.421276;0.121943,161.397825624084,0.422834636716479,1.85383671809609,15.7924404611996,39.5652559804569,22.3638293855017,47.1145405335383,18.1777406827573,1.09305029587477,0.174630310678828,0.745136775434547,0.952383863439563,0.140666432435212,-0.777753552760735,-0.207247088005015,-0.918419985195947,-0.347913520440227,0.570506464755719,0.152468244284663,-1.11361789377369,0.165058124413976,0.0528838783339824,-0.0528838783339824
-0.132709052815814,16.5085056869862,7.62761624917792,0.488138989515344,3.8095;-6.463;6.1723;-3.1753;0.27881;0.91919;-1.0625;0.89422;-0.53561;0.16008,272.530760017255,0.177854053641406,2.53629889082992,34.7662534821522,17.5452532544923,1.62171232738553,147.154613213768,30.5628409470101,1.44283663583827,2.12670038110556,4.50800124136918,1.57169890170115,-0.128862265862881,0.555001479404416,2.93630233966804,0.683863745267297,3.06516460553092,2.38130086026362,-1.31465404377238,-0.537431438053039,1.22297859200753,2.22700669837399,-2.22700669837399
-0.0952040023590097,12.792382305002,7.19477068525558,0.480866219375874,3.4865;-5.2937;4.2921;-1.5238;-0.38212;0.77415;-0.77581;0.78961;-0.54891;0.17673,163.645045037328,0.206994141351885,2.41553310494981,33.0621769578108,9.89069299498621,1.54718734759601,73.7875102617405,13.1400945776524,0.802799540719749,2.00959526618682,3.86475081156798,1.72552126891726,-0.922721728197514,0.284073997269553,2.13922954265072,1.20679572546707,3.06195127084823,1.85515554538117,-1.54143475086178,-1.18443525626369,0.704972176976058,2.02814495991574,-2.02814495991574
-0.0892131284021295,11.2014560657488,3.93275015300997,0.23759168157277,3.6058;-6.6278;7.9424;-6.6019;3.5568;-0.33046;-1.8313;2.3118;-1.4973;0.46233,125.472617992901,0.473414160999257,1.74455764979578,8.32410873144662,23.5988637193423,30.0740015113087,44.1705969485987,8.78297567514736,1.6689033694648,0.626860776927495,0.384398278961319,1.61524407492126,0.0536592945435329,-0.988383297993769,-1.23084579595994,-1.0420425925373,-1.28450509050348,-0.242462497966176,0.321705892890598,-1.29051062474473,0.506089651281084,-0.0134920294198453,0.0134920294198454
-0.0778305352619189,11.9034407095783,3.62979417011617,0.118620394447,3.7398;-6.9908;8.3183;-6.6266;3.2835;-0.31952;-1.2198;1.4083;-0.87756;0.27322,141.691900726446,0.446528725512086,1.81081017113879,17.1002306010427,22.2121673754498,28.9545840802766,51.6341745313899,8.91447351391264,1.10509180152671,0.843543531673021,0.578455214159861,1.75650755702144,-0.651415755494727,-0.912964025348414,-1.17805234286157,-0.261548269853687,-0.526636587366847,-0.26508831751316,-0.158021702332786,-1.48386374590065,0.431907202579267,0.168357206371062,-0.168357206371062
-0.062294824927864,13.0836582876811,5.01584027351164,0.0109844746612205,3.853;-7.0153;7.9636;-6.0568;2.781;0.21068;-2.0225;2.2198;-1.2572;0.31914,171.182114188807,0.225045955929546,2.48181815239949,19.4729457289421,20.2823339218456,2.28080716335495,102.260420184329,22.0105397393576,1.65849659489823,1.61777244161885,3.80299329929158,1.53600128092541,0.122495313972811,0.0817711606934338,2.26699201836617,-0.0407241532793775,2.14449670439335,2.18522085767273,-0.715545150509534,-0.591221235985513,1.1397216886048,1.70614669285067,-1.70614669285067
-0.0489354210619162,16.3537968654403,6.0884943702595,0.61689582231601,4.25248;-8.95135;12.3058;-12.1709;9.00462;-4.81927;1.42933;0.255961;-0.486724;0.176267,267.446671916084,0.24737171617079,2.75172678825781,33.2522491181745,19.009674676197,8.35270215951155,135.427997032265,19.2805035463267,1.40431770440169,1.96349206881225,2.78585501343839,1.94934570547833,-0.545028001076638,0.0141463633339257,0.836509307960068,0.559174364410563,1.38153730903671,0.822362944626142,-1.01648879229835,-0.997173665011159,1.08527463346381,1.73237374323309,-1.73237374323309
-0.0279388196221485,14.5606561672468,4.0442653531568,0.144097614854647,3.8455;-7.2001;8.3453;-6.2367;2.6081;0.26221;-1.4545;1.2957;-0.63145;0.15613,212.012708020782,0.408759843983661,1.913482338703,19.7051083696342,49.5786364798769,27.1100190551839,81.8319675801729,20.57930867245,1.4237900587465,0.501107944164668,1.1047646025849,1.38038183134109,0.0434082274054098,-0.879273887176425,-0.275617228756191,-0.922682114581835,-0.3190254561616,0.603656658420235,0.207595304533209,-1.21392417898765,0.390786509571441,0.289243035737741,-0.289243035737741
0.00212109273666911,15.4936262139712,7.67585071435328,0.235144530206341,3.765;-6.7198;7.2776;-4.8912;1.503;0.97518;-2.005;1.8143;-0.99503;0.26902,240.052453258255,0.284146629522142,2.37021177514031,41.7974666470709,23.2870160663362,10.1681817784862,68.9261967821843,20.6467280065005,0.500200589137203,1.08514036542372,1.91377290906792,1.20547946349773,-0.705278874360528,-0.120339098074014,0.708293445570192,0.584939776286514,1.41357231993072,0.828632543644206,-0.98637731746161,-1.14812930322078,0.319366935593062,0.984845929641225,-0.984845929641226
